id,Title,Categories,"Country name","City name","State abbreviation",sources_source_link
10639,Arab,"North America>United States of America>Alabama",,Arab,,
6438,"Is Albany Tap Water Safe to Drink?","North America>United States of America>New York",,Albany,NY,
6439,"Is Albany Tap Water Safe to Drink?","North America>United States of America>Oregon",,Albany,OR,
6440,"Is Albuquerque Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Albuquerque,NM,
6441,"Is Alexandria Tap Water Safe to Drink?","North America>United States of America>Louisiana",,Alexandria,LA,
6442,"Is Alexandria Tap Water Safe to Drink?","North America>United States of America>Virginia",,Alexandria,VA,
6458,"Is Annapolis Tap Water Safe to Drink?","North America>United States of America>Maryland",,Annapolis,MD,
6443,"Is Aliso Viejo Tap Water Safe to Drink?","North America>United States of America>California",,"Aliso Viejo",CA,
6459,"Is Antioch Tap Water Safe to Drink?","North America>United States of America>California",,Antioch,CA,
6444,"Is Allen Tap Water Safe to Drink?","North America>United States of America>Texas",,Allen,TX,
6460,"Is Apopka Tap Water Safe to Drink?","North America>United States of America>Florida",,Apopka,FL,
6445,"Is Allentown Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Allentown,PA,
6461,"Is Apple Valley Tap Water Safe to Drink?","North America>United States of America>California",,"Apple Valley",CA,
6446,"Is Alpharetta Tap Water Safe to Drink?","North America>United States of America>Georgia",,Alpharetta,GA,
6432,"Is Aberdeen Tap Water Safe to Drink?","North America>United States of America>South Dakota",,Aberdeen,SD,
6433,"Is Abilene Tap Water Safe to Drink?","North America>United States of America>Texas",,Abilene,TX,
6434,"Is Acton Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Acton,MA,
6435,"Is Akron Tap Water Safe to Drink?","North America>United States of America>Ohio",,Akron,OH,
6436,"Is Alameda Tap Water Safe to Drink?","North America>United States of America>California",,Alameda,CA,
6437,"Is Alamogordo Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Alamogordo,NM,
6454,"Is Anderson Tap Water Safe to Drink?","North America>United States of America>South Carolina",,Anderson,SC,
6455,"Is Andover Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Andover,MA,
6456,"Is Ankeny Tap Water Safe to Drink?","North America>United States of America>Iowa",,Ankeny,IA,
6457,"Is Ann Arbor Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Ann Arbor",MI,
6462,"Is Appleton Tap Water Safe to Drink?","North America>United States of America>Wisconsin",,Appleton,WI,
6447,"Is Alton Tap Water Safe to Drink?","North America>United States of America>Illinois",,Alton,IL,
6463,"Is Arlington Tap Water Safe to Drink?","North America>United States of America>Texas",,Arlington,TX,
6448,"Is Amarillo Tap Water Safe to Drink?","North America>United States of America>Texas",,Amarillo,TX,
6464,"Is Arlington Tap Water Safe to Drink?","North America>United States of America>Virginia",,Arlington,VA,
6449,"Is Ames Tap Water Safe to Drink?","North America>United States of America>Iowa",,Ames,IA,
6465,"Is Ashburn Tap Water Safe to Drink?","North America>United States of America>Virginia",,Ashburn,VA,
6450,"Is Amherst Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Amherst,MA,
6466,"Is Asheville Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Asheville,NC,
6451,"Is Anaheim Tap Water Safe to Drink?","North America>United States of America>California",,Anaheim,CA,
6467,"Is Astoria Tap Water Safe to Drink?","North America>United States of America>New York",,Astoria,NY,
6452,"Is Anchorage Tap Water Safe to Drink?","North America>United States of America>Alaska",,Anchorage,AK,
6453,"Is Anderson Tap Water Safe to Drink?","North America>United States of America>California",,Anderson,CA,
6470,"Is Athens Tap Water Safe to Drink?","North America>United States of America>Georgia",,Athens,GA,
6486,"Is Beaufort Tap Water Safe to Drink?","North America>United States of America>South Carolina",,Beaufort,SC,
6471,"Is Athens Tap Water Safe to Drink?","North America>United States of America>Ohio",,Athens,OH,
6472,"Is Atlanta Tap Water Safe to Drink?","North America>United States of America>Georgia",,Atlanta,GA,https://www.lonelyplanet.com/usa/the-south/atlanta/health
6473,"Is Auburn Tap Water Safe to Drink?","North America>United States of America>Alabama",,Auburn,AL,
6474,"Is Augusta Tap Water Safe to Drink?","North America>United States of America>Georgia",,Augusta,GA,
6475,"Is Augusta Tap Water Safe to Drink?","North America>United States of America>Maine",,Augusta,ME,
6476,"Is Aurora Tap Water Safe to Drink?","North America>United States of America>Colorado",,Aurora,CO,
6477,"Is Aurora Tap Water Safe to Drink?","North America>United States of America>Illinois",,Aurora,IL,
6481,"Is Baltimore Tap Water Safe to Drink?","North America>United States of America>Maryland",,Baltimore,MD,
6482,"Is Bangor Tap Water Safe to Drink?","North America>United States of America>Maine",,Bangor,ME,
6483,"Is Baton Rouge Tap Water Safe to Drink?","North America>United States of America>Louisiana",,"Baton Rouge",LA,
6468,"Is Astoria Tap Water Safe to Drink?","North America>United States of America>Oregon",,Astoria,OR,
6484,"Is Battle Creek Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Battle Creek",MI,
6469,"Is Atascadero Tap Water Safe to Drink?","North America>United States of America>California",,Atascadero,CA,
6485,"Is Baytown Tap Water Safe to Drink?","North America>United States of America>Texas",,Baytown,TX,
6502,"Is Billings Tap Water Safe to Drink?","North America>United States of America>Montana",,Billings,MT,
6487,"Is Beaumont Tap Water Safe to Drink?","North America>United States of America>Texas",,Beaumont,TX,
6503,"Is Biloxi Tap Water Safe to Drink?","North America>United States of America>Mississippi",,Biloxi,MS,
6488,"Is Beaverton Tap Water Safe to Drink?","North America>United States of America>Oregon",,Beaverton,OR,
6489,"Is Beckley Tap Water Safe to Drink?","North America>United States of America>West Virginia",,Beckley,WV,
6490,"Is Belleville Tap Water Safe to Drink?","North America>United States of America>Illinois",,Belleville,IL,
6491,"Is Bellevue Tap Water Safe to Drink?","North America>United States of America>Washington",,Bellevue,WA,
6492,"Is Bellingham Tap Water Safe to Drink?","North America>United States of America>Washington",,Bellingham,WA,
6493,"Is Belmont Tap Water Safe to Drink?","North America>United States of America>California",,Belmont,CA,
6478,"Is Austin Tap Water Safe to Drink?","North America>United States of America>Texas",,Austin,TX,
6479,"Is Avondale Tap Water Safe to Drink?","North America>United States of America>Arizona",,Avondale,AZ,
6480,"Is Bakersfield Tap Water Safe to Drink?","North America>United States of America>California",,Bakersfield,CA,
6498,"Is Berkeley Tap Water Safe to Drink?","North America>United States of America>California",,Berkeley,CA,
6499,"Is Bethesda Tap Water Safe to Drink?","North America>United States of America>Maryland",,Bethesda,MD,
6500,"Is Bethlehem Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Bethlehem,PA,
6501,"Is Beverly Hills Tap Water Safe to Drink?","North America>United States of America>California",,"Beverly Hills",CA,
6504,"Is Binghamton Tap Water Safe to Drink?","North America>United States of America>New York",,Binghamton,NY,
6505,"Is Birmingham Tap Water Safe to Drink?","North America>United States of America>Alabama",,Birmingham,AL,
6506,"Is Bismarck Tap Water Safe to Drink?","North America>United States of America>North Dakota",,Bismarck,ND,
6507,"Is Blacksburg Tap Water Safe to Drink?","North America>United States of America>Virginia",,Blacksburg,VA,
6508,"Is Bloomfield Hills Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Bloomfield Hills",MI,
6524,"Is Brentwood Tap Water Safe to Drink?","North America>United States of America>Tennessee",,Brentwood,TN,
6509,"Is Bloomington Tap Water Safe to Drink?","North America>United States of America>Illinois",,Bloomington,IL,
6525,"Is Bridgeport Tap Water Safe to Drink?","North America>United States of America>Connecticut",,Bridgeport,CT,
6494,"Is Beloit Tap Water Safe to Drink?","North America>United States of America>Wisconsin",,Beloit,WI,
6510,"Is Bloomington Tap Water Safe to Drink?","North America>United States of America>Indiana",,Bloomington,IN,
6495,"Is Bend Tap Water Safe to Drink?","North America>United States of America>Oregon",,Bend,OR,
6511,"Is Boca Raton Tap Water Safe to Drink?","North America>United States of America>Florida",,"Boca Raton",FL,
6496,"Is Bentonville Tap Water Safe to Drink?","North America>United States of America>Arkansas",,Bentonville,AR,
6512,"Is Boise Tap Water Safe to Drink?","North America>United States of America>Idaho",,Boise,ID,
6497,"Is Bergen County Tap Water Safe to Drink?","North America>United States of America>New Jersey",,"Bergen County",NJ,
6513,"Is Boone Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Boone,NC,
6514,"Is Boston Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Boston,MA,https://www.lonelyplanet.com/usa/boston/health
6515,"Is Boulder Tap Water Safe to Drink?","North America>United States of America>Colorado",,Boulder,CO,
6516,"Is Bowling Green Tap Water Safe to Drink?","North America>United States of America>Kentucky",,"Bowling Green",KY,
6518,"Is Bozeman Tap Water Safe to Drink?","North America>United States of America>Montana",,Bozeman,MT,
6519,"Is Bradenton Tap Water Safe to Drink?","North America>United States of America>Florida",,Bradenton,FL,
6520,"Is Brainerd Tap Water Safe to Drink?","North America>United States of America>Minnesota",,Brainerd,MN,
6521,"Is Brea Tap Water Safe to Drink?","North America>United States of America>California",,Brea,CA,
6522,"Is Bremerton Tap Water Safe to Drink?","North America>United States of America>Washington",,Bremerton,WA,
6523,"Is Brentwood Tap Water Safe to Drink?","North America>United States of America>California",,Brentwood,CA,
6540,"Is Cambridge Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Cambridge,MA,
6541,"Is Canoga Park Tap Water Safe to Drink?","North America>United States of America>California",,"Canoga Park",CA,
6526,"Is Bridgewater Tap Water Safe to Drink?","North America>United States of America>New Jersey",,Bridgewater,NJ,
6527,"Is Bronx Tap Water Safe to Drink?","North America>United States of America>New York",,Bronx,NY,
6528,"Is Brookhaven Tap Water Safe to Drink?","North America>United States of America>New York",,Brookhaven,NY,
6529,"Is Brooklyn Tap Water Safe to Drink?","North America>United States of America>New York",,Brooklyn,NY,
6530,"Is Brownsville Tap Water Safe to Drink?","North America>United States of America>Texas",,Brownsville,TX,
6531,"Is Brunswick Tap Water Safe to Drink?","North America>United States of America>Georgia",,Brunswick,GA,
6532,"Is Buffalo Tap Water Safe to Drink?","North America>United States of America>New York",,Buffalo,NY,
6517,"Is Boynton Beach Tap Water Safe to Drink?","North America>United States of America>Florida",,"Boynton Beach",FL,
6534,"Is Burbank Tap Water Safe to Drink?","North America>United States of America>California",,Burbank,CA,
6550,"Is Casper Tap Water Safe to Drink?","North America>United States of America>Wyoming",,Casper,WY,
6535,"Is Burley Tap Water Safe to Drink?","North America>United States of America>Idaho",,Burley,ID,
6536,"Is Burlington Tap Water Safe to Drink?","North America>United States of America>Iowa",,Burlington,IA,
6537,"Is Burlington Tap Water Safe to Drink?","North America>United States of America>Vermont",,Burlington,VT,
6538,"Is Butte Tap Water Safe to Drink?","North America>United States of America>Montana",,Butte,MT,
6539,"Is Camarillo Tap Water Safe to Drink?","North America>United States of America>California",,Camarillo,CA,
6556,"Is Chapel Hill Tap Water Safe to Drink?","North America>United States of America>North Carolina",,"Chapel Hill",NC,
6557,"Is Charleston Tap Water Safe to Drink?","North America>United States of America>South Carolina",,Charleston,SC,
6542,"Is Canton Tap Water Safe to Drink?","North America>United States of America>Ohio",,Canton,OH,
6543,"Is Cape Girardeau Tap Water Safe to Drink?","North America>United States of America>Missouri",,"Cape Girardeau",MO,
6544,"Is Carbondale Tap Water Safe to Drink?","North America>United States of America>Illinois",,Carbondale,IL,
6545,"Is Carlsbad Tap Water Safe to Drink?","North America>United States of America>California",,Carlsbad,CA,
6546,"Is Carlsbad Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Carlsbad,NM,
6547,"Is Carson City Tap Water Safe to Drink?","North America>United States of America>Nevada",,"Carson City",NV,
6548,"Is Cartersville Tap Water Safe to Drink?","North America>United States of America>Georgia",,Cartersville,GA,
6533,"Is Bullhead City Tap Water Safe to Drink?","North America>United States of America>Arizona",,"Bullhead City",AZ,
6549,"Is Cary Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Cary,NC,
6567,"Is Chula Vista Tap Water Safe to Drink?","North America>United States of America>California",,"Chula Vista",CA,
6551,"Is Cedar City Tap Water Safe to Drink?","North America>United States of America>Utah",,"Cedar City",UT,
6552,"Is Cedar Rapids Tap Water Safe to Drink?","North America>United States of America>Iowa",,"Cedar Rapids",IA,
6553,"Is Centreville Tap Water Safe to Drink?","North America>United States of America>Virginia",,Centreville,VA,
6554,"Is Champaign Tap Water Safe to Drink?","North America>United States of America>Illinois",,Champaign,IL,
6555,"Is Chandler Tap Water Safe to Drink?","North America>United States of America>Arizona",,Chandler,AZ,
6572,"Is Cleveland Tap Water Safe to Drink?","North America>United States of America>Ohio",,Cleveland,OH,
6573,"Is Clifton Tap Water Safe to Drink?","North America>United States of America>New Jersey",,Clifton,NJ,
6558,"Is Charleston Tap Water Safe to Drink?","North America>United States of America>West Virginia",,Charleston,WV,
6559,"Is Charlotte Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Charlotte,NC,
6560,"Is Charlottesville Tap Water Safe to Drink?","North America>United States of America>Virginia",,Charlottesville,VA,
6561,"Is Chattanooga Tap Water Safe to Drink?","North America>United States of America>Tennessee",,Chattanooga,TN,
6562,"Is Cherry Hill Tap Water Safe to Drink?","North America>United States of America>New Jersey",,"Cherry Hill",NJ,
6563,"Is Chesapeake Tap Water Safe to Drink?","North America>United States of America>Virginia",,Chesapeake,VA,
6564,"Is Cheyenne Tap Water Safe to Drink?","North America>United States of America>Wyoming",,Cheyenne,WY,
6566,"Is Chico Tap Water Safe to Drink?","North America>United States of America>California",,Chico,CA,
6583,"Is Columbia Tap Water Safe to Drink?","North America>United States of America>Missouri",,Columbia,MO,
6568,"Is Cincinnati Tap Water Safe to Drink?","North America>United States of America>Ohio",,Cincinnati,OH,
6569,"Is Citrus Heights Tap Water Safe to Drink?","North America>United States of America>California",,"Citrus Heights",CA,
6570,"Is Clarksville Tap Water Safe to Drink?","North America>United States of America>Tennessee",,Clarksville,TN,
6586,"Is Columbus Tap Water Safe to Drink?","North America>United States of America>Indiana",,Columbus,IN,
6602,"Is Cumming Tap Water Safe to Drink?","North America>United States of America>Georgia",,Cumming,GA,
6571,"Is Clearwater Tap Water Safe to Drink?","North America>United States of America>Florida",,Clearwater,FL,
6587,"Is Columbus Tap Water Safe to Drink?","North America>United States of America>Ohio",,Columbus,OH,
6588,"Is Concord Tap Water Safe to Drink?","North America>United States of America>California",,Concord,CA,
6589,"Is Concord Tap Water Safe to Drink?","North America>United States of America>New Hampshire",,Concord,NH,
6574,"Is Clinton Township Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Clinton Township",MI,
6575,"Is Clovis Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Clovis,NM,
6576,"Is Cody Tap Water Safe to Drink?","North America>United States of America>Wyoming",,Cody,WY,
6577,"Is Coeur d'Alene Tap Water Safe to Drink?","North America>United States of America>Idaho",,"Coeur d'Alene",ID,
6578,"Is College Park Tap Water Safe to Drink?","North America>United States of America>Maryland",,"College Park",MD,
6579,"Is College Station Tap Water Safe to Drink?","North America>United States of America>Texas",,"College Station",TX,
6580,"Is Colorado Springs Tap Water Safe to Drink?","North America>United States of America>Colorado",,"Colorado Springs",CO,
6581,"Is Colton Tap Water Safe to Drink?","North America>United States of America>California",,Colton,CA,
6582,"Is Columbia Tap Water Safe to Drink?","North America>United States of America>Maryland",,Columbia,MD,
6599,"Is Crestview Tap Water Safe to Drink?","North America>United States of America>Florida",,Crestview,FL,
6584,"Is Columbia Tap Water Safe to Drink?","North America>United States of America>South Carolina",,Columbia,SC,
6600,"Is Crystal Lake Tap Water Safe to Drink?","North America>United States of America>Illinois",,"Crystal Lake",IL,
6585,"Is Columbus Tap Water Safe to Drink?","North America>United States of America>Georgia",,Columbus,GA,
6601,"Is Cumberland Tap Water Safe to Drink?","North America>United States of America>Maryland",,Cumberland,MD,
6619,"Is Denver Tap Water Safe to Drink?","North America>United States of America>Colorado",,Denver,CO,
6604,"Is Dallas Tap Water Safe to Drink?","North America>United States of America>Texas",,Dallas,TX,
6620,"Is Des Moines Tap Water Safe to Drink?","North America>United States of America>Iowa",,"Des Moines",IA,
6605,"Is Danbury Tap Water Safe to Drink?","North America>United States of America>Connecticut",,Danbury,CT,
6590,"Is Conroe Tap Water Safe to Drink?","North America>United States of America>Texas",,Conroe,TX,
6591,"Is Cookeville Tap Water Safe to Drink?","North America>United States of America>Tennessee",,Cookeville,TN,
6592,"Is Coos Bay Tap Water Safe to Drink?","North America>United States of America>Oregon",,"Coos Bay",OR,
6593,"Is Coral Springs Tap Water Safe to Drink?","North America>United States of America>Florida",,"Coral Springs",FL,
6594,"Is Corona Tap Water Safe to Drink?","North America>United States of America>California",,Corona,CA,
6595,"Is Corpus Christi Tap Water Safe to Drink?","North America>United States of America>Texas",,"Corpus Christi",TX,
6596,"Is Corvallis Tap Water Safe to Drink?","North America>United States of America>Oregon",,Corvallis,OR,
6597,"Is Costa Mesa Tap Water Safe to Drink?","North America>United States of America>California",,"Costa Mesa",CA,
6598,"Is Cottonwood Tap Water Safe to Drink?","North America>United States of America>Arizona",,Cottonwood,AZ,
6615,"Is Del Rio Tap Water Safe to Drink?","North America>United States of America>Texas",,"Del Rio",TX,
6616,"Is DeLand Tap Water Safe to Drink?","North America>United States of America>Florida",,DeLand,FL,
6617,"Is Delray Beach Tap Water Safe to Drink?","North America>United States of America>Florida",,"Delray Beach",FL,
6618,"Is Denton Tap Water Safe to Drink?","North America>United States of America>Texas",,Denton,TX,
6603,"Is Cupertino Tap Water Safe to Drink?","North America>United States of America>California",,Cupertino,CA,
6636,"Is Eagle River Tap Water Safe to Drink?","North America>United States of America>Alaska",,"Eagle River",AK,
6621,"Is Des Plaines Tap Water Safe to Drink?","North America>United States of America>Illinois",,"Des Plaines",IL,
6606,"Is Danville Tap Water Safe to Drink?","North America>United States of America>California",,Danville,CA,
6607,"Is Danville Tap Water Safe to Drink?","North America>United States of America>Virginia",,Danville,VA,
6608,"Is Davenport Tap Water Safe to Drink?","North America>United States of America>Iowa",,Davenport,IA,
6609,"Is Davis Tap Water Safe to Drink?","North America>United States of America>California",,Davis,CA,
6610,"Is Dayton Tap Water Safe to Drink?","North America>United States of America>Ohio",,Dayton,OH,
6611,"Is Daytona Beach Tap Water Safe to Drink?","North America>United States of America>Florida",,"Daytona Beach",FL,
6612,"Is Decatur Tap Water Safe to Drink?","North America>United States of America>Illinois",,Decatur,IL,
6613,"Is Deerfield Beach Tap Water Safe to Drink?","North America>United States of America>Florida",,"Deerfield Beach",FL,
6614,"Is DeKalb Tap Water Safe to Drink?","North America>United States of America>Illinois",,DeKalb,IL,
6631,"Is Dubuque Tap Water Safe to Drink?","North America>United States of America>Iowa",,Dubuque,IA,
6632,"Is Duluth Tap Water Safe to Drink?","North America>United States of America>Georgia",,Duluth,GA,
6633,"Is Duluth Tap Water Safe to Drink?","North America>United States of America>Minnesota",,Duluth,MN,
6634,"Is Durango Tap Water Safe to Drink?","North America>United States of America>Colorado",,Durango,CO,
6635,"Is Durham Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Durham,NC,
6652,"Is Erie Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Erie,PA,
6637,"Is East Lansing Tap Water Safe to Drink?","North America>United States of America>Michigan",,"East Lansing",MI,
6653,"Is Eugene Tap Water Safe to Drink?","North America>United States of America>Oregon",,Eugene,OR,
6622,"Is Detroit Tap Water Safe to Drink?","North America>United States of America>Michigan",,Detroit,MI,
6623,"Is Dodge City Tap Water Safe to Drink?","North America>United States of America>Kansas",,"Dodge City",KS,
6624,"Is Dothan Tap Water Safe to Drink?","North America>United States of America>Alabama",,Dothan,AL,
6625,"Is Dover Tap Water Safe to Drink?","North America>United States of America>Delaware",,Dover,DE,
6626,"Is Dover Tap Water Safe to Drink?","North America>United States of America>New Hampshire",,Dover,NH,
6627,"Is Downey Tap Water Safe to Drink?","North America>United States of America>California",,Downey,CA,
6628,"Is Downingtown Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Downingtown,PA,
6629,"Is Doylestown Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Doylestown,PA,
6630,"Is Dublin Tap Water Safe to Drink?","North America>United States of America>Ohio",,Dublin,OH,
6647,"Is El Paso Tap Water Safe to Drink?","North America>United States of America>Texas",,"El Paso",TX,
6648,"Is Elizabethtown Tap Water Safe to Drink?","North America>United States of America>Kentucky",,Elizabethtown,KY,
6649,"Is Elkhart Tap Water Safe to Drink?","North America>United States of America>Indiana",,Elkhart,IN,
6650,"Is Elko Tap Water Safe to Drink?","North America>United States of America>Nevada",,Elko,NV,
6651,"Is Elmira Tap Water Safe to Drink?","North America>United States of America>New York",,Elmira,NY,
6667,"Is Fayetteville Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Fayetteville,NC,
6668,"Is Flagstaff Tap Water Safe to Drink?","North America>United States of America>Arizona",,Flagstaff,AZ,
6669,"Is Flint Tap Water Safe to Drink?","North America>United States of America>Michigan",,Flint,MI,
6638,"Is East Providence Tap Water Safe to Drink?","North America>United States of America>Rhode Island",,"East Providence",RI,
6639,"Is Eau Claire Tap Water Safe to Drink?","North America>United States of America>Wisconsin",,"Eau Claire",WI,
6640,"Is Eden Prairie Tap Water Safe to Drink?","North America>United States of America>Minnesota",,"Eden Prairie",MN,
6641,"Is Edison Tap Water Safe to Drink?","North America>United States of America>New Jersey",,Edison,NJ,
6642,"Is Edmond Tap Water Safe to Drink?","North America>United States of America>Oklahoma",,Edmond,OK,
6643,"Is Edwardsville Tap Water Safe to Drink?","North America>United States of America>Illinois",,Edwardsville,IL,
6644,"Is El Cajon Tap Water Safe to Drink?","North America>United States of America>California",,"El Cajon",CA,
6645,"Is El Centro Tap Water Safe to Drink?","North America>United States of America>California",,"El Centro",CA,
6646,"Is El Dorado Tap Water Safe to Drink?","North America>United States of America>Arkansas",,"El Dorado",AR,
6663,"Is Fargo Tap Water Safe to Drink?","North America>United States of America>North Dakota",,Fargo,ND,
6664,"Is Farmington Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Farmington,NM,
6665,"Is Farmington Hills Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Farmington Hills",MI,
6666,"Is Fayetteville Tap Water Safe to Drink?","North America>United States of America>Arkansas",,Fayetteville,AR,
6684,"Is Fremont Tap Water Safe to Drink?","North America>United States of America>California",,Fremont,CA,
6685,"Is Fresno Tap Water Safe to Drink?","North America>United States of America>California",,Fresno,CA,
6654,"Is Eureka Tap Water Safe to Drink?","North America>United States of America>California",,Eureka,CA,
6670,"Is Florence Tap Water Safe to Drink?","North America>United States of America>Alabama",,Florence,AL,https://www.lonelyplanet.com/italy/florence/health
6655,"Is Evanston Tap Water Safe to Drink?","North America>United States of America>Illinois",,Evanston,IL,
6671,"Is Fond du Lac Tap Water Safe to Drink?","North America>United States of America>Wisconsin",,"Fond du Lac",WI,
6656,"Is Evansville Tap Water Safe to Drink?","North America>United States of America>Indiana",,Evansville,IN,
6657,"Is Everett Tap Water Safe to Drink?","North America>United States of America>Washington",,Everett,WA,
6658,"Is Fairbanks Tap Water Safe to Drink?","North America>United States of America>Alaska",,Fairbanks,AK,
6659,"Is Fairfax Tap Water Safe to Drink?","North America>United States of America>Virginia",,Fairfax,VA,
6660,"Is Fairfield Tap Water Safe to Drink?","North America>United States of America>California",,Fairfield,CA,
6661,"Is Fairfield Tap Water Safe to Drink?","North America>United States of America>Connecticut",,Fairfield,CT,
6662,"Is Fall River Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,"Fall River",MA,
6679,"Is Fort Worth Tap Water Safe to Drink?","North America>United States of America>Texas",,"Fort Worth",TX,
6680,"Is Foster City Tap Water Safe to Drink?","North America>United States of America>California",,"Foster City",CA,
6681,"Is Franklin Tap Water Safe to Drink?","North America>United States of America>Tennessee",,Franklin,TN,
6682,"Is Frederick Tap Water Safe to Drink?","North America>United States of America>Maryland",,Frederick,MD,
6683,"Is Fredericksburg Tap Water Safe to Drink?","North America>United States of America>Virginia",,Fredericksburg,VA,
6687,"Is Fullerton Tap Water Safe to Drink?","North America>United States of America>California",,Fullerton,CA,
6672,"Is Fontana Tap Water Safe to Drink?","North America>United States of America>California",,Fontana,CA,
6688,"Is Gadsden Tap Water Safe to Drink?","North America>United States of America>Alabama",,Gadsden,AL,
6673,"Is Fort Collins Tap Water Safe to Drink?","North America>United States of America>Colorado",,"Fort Collins",CO,
6674,"Is Fort Lauderdale Tap Water Safe to Drink?","North America>United States of America>Florida",,"Fort Lauderdale",FL,
6675,"Is Fort Myers Tap Water Safe to Drink?","North America>United States of America>Florida",,"Fort Myers",FL,
